date,trades,value
2000/05/25,401991,3884286555700
2000/05/26,350449,2539360162950
2000/05/29,309609,2385942249450
2000/05/30,389664,2866427130650
2000/05/31,503781,4334907113650
2000/06/01,314335,2911228480900
2000/06/02,430574,3841564759750
2000/06/05,464377,4067027946400
2000/06/07,493503,4945621637150
2000/06/08,669048,5819105972050
2000/06/09,506778,4859107851450
2000/06/12,516737,4452654091150
2000/06/13,426604,3462371175350
2000/06/14,438192,3799428028500
2000/06/15,380637,2973217864500
2000/06/16,317141,2435163298050
2000/06/19,270286,2177166218500
2000/06/20,340770,2613707809200
2000/06/21,529238,3675903751950
2000/06/22,369637,3008768298250
2000/06/23,261847,2004909134500
2000/06/26,286734,2290800317350
2000/06/27,465832,3215650803900
2000/06/28,500101,3469000720100
2000/06/29,338970,3041004180100
2000/06/30,462872,2896273454250
2000/07/03,440790,2889966385500
2000/07/04,439140,3275866656150
2000/07/05,531940,3279593903900
2000/07/06,696036,4837309701250
2000/07/07,569845,4494518353200
2000/07/10,532552,4186814944350
2000/07/11,849974,5514957838750
2000/07/12,466956,3406701080250
2000/07/13,477914,3457244235500
2000/07/14,366311,2981216559700
2000/07/18,317068,2175803024850
2000/07/19,442795,2815564973800
2000/07/20,426306,2634546468050
2000/07/21,408138,2757718430950
2000/07/24,393315,2439478003200
2000/07/25,352571,2432085571100
2000/07/26,333085,2264987840750
2000/07/27,255855,1692247478950
2000/07/28,239029,2132519456100
2000/07/31,218984,1652426549650
2000/08/01,297939,2276005020000
2000/08/02,328689,1929717495400
2000/08/03,259426,1557445422000
2000/08/04,221052,1427437579450
2000/08/07,218357,1280564365100
2000/08/08,209184,1369710749550
2000/08/09,295426,1986358351800
2000/08/10,259932,1969790333450
2000/08/11,300611,2014074868900
2000/08/14,323611,1972354102850
2000/08/16,314527,2369813084150
2000/08/17,317263,2155212864950
2000/08/18,277077,1752840944550
2000/08/21,227405,1339536547650
2000/08/22,302511,1975039406850
2000/08/23,298530,1656214616400
2000/08/24,293440,1786523057000
2000/08/25,275525,1353260335100
2000/08/28,271849,1284017974250
2000/08/29,253336,1451895299300
2000/08/30,217557,1530433498650
2000/08/31,263369,2173186571900
2000/09/01,202369,1366546132150
2000/09/04,224053,1304010932050
2000/09/05,216307,1699687717050
2000/09/06,211877,1603175920750
2000/09/07,251207,2001444594500
2000/09/08,302698,1958133144400
2000/09/14,319763,2358736799350
2000/09/15,338683,2385689277150
2000/09/18,314544,2352607150750
2000/09/19,327625,2341977278350
2000/09/20,340228,2399342293100
2000/09/21,350392,2248124975850
2000/09/22,305092,1991112880500
2000/09/25,328326,1881963192250
2000/09/26,403772,2137614011050
2000/09/27,367123,2139329538050
2000/09/28,330225,1983285469600
2000/09/29,328155,1996792784450
2000/10/02,243067,1465061344850
2000/10/04,311588,2134879219200
2000/10/05,456972,2589878319900
2000/10/06,369623,1973417888000
2000/10/09,343128,1833146105950
2000/10/10,283529,1628573527050
2000/10/11,311532,1944590597500
2000/10/12,259668,1673803346800
2000/10/13,330309,1990326382100
2000/10/16,341166,2309835114300
2000/10/17,313674,1798663113000
2000/10/18,398598,2347019801600
2000/10/19,312613,2060367358950
2000/10/20,371649,2790772769400
2000/10/23,271144,1919730788650
2000/10/24,311594,1941022393300
2000/10/25,308132,1782791247400
2000/10/26,212838,1516630617150
2000/10/27,284257,2004682031000
2000/10/30,285728,1295013665350
2000/10/31,350639,1611306668950
2000/11/01,366443,2277167442250
2000/11/02,461059,2632834133800
2000/11/03,406518,2253772930350
2000/11/06,423810,2386939799050
2000/11/07,346588,1788326911500
2000/11/08,354231,1832199373900
2000/11/09,323912,1669371814050
2000/11/10,322181,1652873744250
2000/11/13,272836,1386134976900
2000/11/14,253047,1286328451800
2000/11/15,325306,1998308842500
2000/11/16,310692,1361642176800
2000/11/17,331720,1588980122800
2000/11/20,289753,1175620694850
2000/11/21,293148,1397532152600
2000/11/22,314620,1411002874650
2000/11/23,312320,1499763085500
2000/11/24,315548,1465599503850
2000/11/27,392920,2012408589150
2000/11/28,341209,1547496837850
2000/11/29,281000,1202031187450
2000/11/30,310417,1429394176550
2000/12/01,329920,1558855250800
2000/12/04,267606,1372502844450
2000/12/05,257240,1258890010650
2000/12/06,391918,2170397461300
2000/12/07,300980,1314941161400
2000/12/08,321364,1359600660950
2000/12/11,388717,1902500118850
2000/12/12,320886,1663919283900
2000/12/13,302753,1916032106400
2000/12/14,298434,1914904213800
2000/12/15,297847,1667623030500
2000/12/18,251260,1355266810950
2000/12/19,290170,1587946095400
2000/12/20,304295,1581490688650
2000/12/21,290298,1665566255050
2000/12/22,332697,1611808240600
2000/12/26,252890,1494115145850
2001/01/02,231014,1223328380750
2001/01/03,324584,1583403350350
2001/01/04,444540,2984761784750
2001/01/05,578286,3569582080650
2001/01/08,558645,2948092701600
2001/01/09,558967,2833998826400
2001/01/10,642378,3285030136550
2001/01/11,518788,2721732185400
2001/01/12,713787,3980149952900
2001/01/15,611961,3407840277100
2001/01/16,606278,3352424158350
2001/01/17,501660,3078571059350
2001/01/18,453764,3021314072600
2001/01/19,432454,3002558621550
2001/01/22,484953,2513407890800
2001/01/26,443736,2603229664150
2001/01/29,461154,2397521610700
2001/01/30,498673,2418190632450
2001/01/31,442127,2585503693300
2001/02/01,396006,2211415694250
2001/02/02,345289,1794823468650
2001/02/05,354074,1897013442000
2001/02/06,326302,1608178853250
2001/02/07,322720,1469919535600
2001/02/08,282243,1726606109500
2001/02/09,374564,2030005548000
2001/02/12,318923,1895873010900
2001/02/13,336730,1990403087450
2001/02/14,413234,2151929301800
2001/02/15,359764,2020480050750
2001/02/16,319525,1853013250500
2001/02/19,316677,1609531891600
2001/02/20,498568,2722295874950
2001/02/21,439148,2430723548650
2001/02/22,434981,2300710093650
2001/02/23,400765,2115209931850
2001/02/26,448986,1803583249150
2001/02/27,475761,2148639753500
2001/02/28,351257,1582342293050
2001/03/02,329687,1903049092400
2001/03/05,309881,1568472072300
2001/03/06,485018,2222220216800
2001/03/07,364058,1838749146650
2001/03/08,349375,1510045862950
2001/03/09,316003,1420750136350
2001/03/12,360939,1556781231750
2001/03/13,358141,1629242829350
2001/03/14,415188,1784541424150
2001/03/15,385191,1671056302400
2001/03/16,332615,1409229422600
2001/03/19,253799,1188001557000
2001/03/20,279529,1229766135500
2001/03/21,364742,1357914392650
2001/03/22,402499,1591322179600
2001/03/23,364379,1920406295300
2001/03/26,433275,1845347444600
2001/03/27,433273,1722045127700
2001/03/28,402642,1508932893200
2001/03/29,484168,1523302864800
2001/03/30,417225,1504517112600
2001/04/02,231820,1105339216550
2001/04/03,277552,1426037919700
2001/04/04,313640,1457327454300
2001/04/06,373586,1761027527350
2001/04/09,283858,944537848650
2001/04/10,261934,1155592698750
2001/04/11,354280,1678782947800
2001/04/12,408940,1738623486450
2001/04/13,346891,1263054652750
2001/04/16,328653,917668318050
2001/04/17,319534,1275226067250
2001/04/18,494863,2079623856050
2001/04/19,561585,3545416609500
2001/04/20,475641,2259268590300
2001/04/23,420369,1826648807350
2001/04/24,346704,1562500813950
2001/04/25,376545,1827770006300
2001/04/26,305802,1537384390750
2001/04/27,231120,1246583186100
2001/04/30,371499,2049155530650
2001/05/02,594622,2357041257750
2001/05/03,390072,1812442682250
2001/05/04,392471,1675848968550
2001/05/07,471719,2111121873200
2001/05/08,484398,2106870993150
2001/05/09,527729,2084919853500
2001/05/10,557126,1813703046950
2001/05/11,546701,1638335854900
2001/05/14,526955,1765178486150
2001/05/15,557552,1947704325500
2001/05/16,529252,1930949126200
2001/05/17,565112,2157100107000
2001/05/18,595397,2542473161950
2001/05/21,750100,3157372408300
2001/05/22,794303,3287501638500
2001/05/23,526291,2451807116350
2001/05/24,561542,2618500251100
2001/05/25,634244,2865476725300
2001/05/28,434841,1851596429900
2001/05/29,530442,2460526780050
2001/05/30,449656,2299525533400
2001/05/31,384983,2294596218350
2001/06/01,358791,1893259735650
2001/06/04,341323,1591517590600
2001/06/05,360313,1805865698900
2001/06/07,328043,1722205495950
2001/06/08,442483,2321916624000
2001/06/11,340123,1711354887650
2001/06/12,319877,1579309434050
2001/06/13,392415,1882785913600
2001/06/14,420520,2138122210150
2001/06/15,375830,1984248114150
2001/06/18,474207,2043419619250
2001/06/19,436625,2106692067950
2001/06/20,440475,2054752308850
2001/06/21,404196,1906898500250
2001/06/22,395237,1950713996000
2001/06/25,309867,1550029714850
2001/06/26,312735,1628122735200
2001/06/27,330389,1647179723300
2001/06/28,268780,1448588759350
2001/06/29,225172,1398816459600
2001/07/02,201673,1185360586300
2001/07/03,209112,1160904964350
2001/07/04,226701,1173004815850
2001/07/05,195564,1058543443300
2001/07/06,215957,1143604238650
2001/07/09,250533,1429909782500
2001/07/10,228984,1079791557500
2001/07/11,208227,1137053545350
2001/07/12,302702,1459039935250
2001/07/13,259004,1380948839950
2001/07/16,228143,961640649050
2001/07/18,275322,1181377283250
2001/07/19,263163,1165193522450
2001/07/20,275155,1136977502200
2001/07/23,265250,995617816500
